name,span,matches,innings,not_outs,runs,highest_score,average,balls_faced,strike_rate,century,half_century,ducks,country
GH Worker,2015-2018,10.0,10,2,272,58,34.0,379,71.76,0,3,0,NZ
JW Hastings,2010-2017,29.0,21,11,271,51,27.1,273,99.26,0,1,1,AUS
Umar Amin,2010-2018,16.0,16,1,271,59,18.06,392,69.13,0,1,0,PAK
AM Bacher,1997-2005,13.0,13,0,270,56,20.76,469,57.56,0,1,0,SA
CA Best,1990-1992,13.0,12,2,270,100,27.0,334,80.83,1,1,1,WI
Jahurul Islam,2010-2013,14.0,13,1,270,53,22.5,371,72.77,0,1,2,BAN
W Larkins,1990-1991,13.0,12,0,268,44,22.33,517,51.83,0,0,1,ENG
M Morkel,2007-2018,117.0,47,18,268,32,9.24,354,75.7,0,0,9,SA
G Toka,2019-2023,22.0,21,0,268,29,12.76,483,55.48,0,0,4,PNG
RJ Ratnayake,1990-1993,22.0,19,5,267,33,19.07,264,101.13,0,0,2,SL
TA Blundell,2020-2023,12.0,12,3,266,68,29.55,307,86.64,0,2,0,NZ
PVD Chameera,2015-2024,52.0,35,12,266,29,11.56,439,60.59,0,0,3,SL
AJ Hosein,2021-2023,38.0,28,9,266,60,14.0,364,73.07,0,1,3,WI
AK Sah,2018-2024,10.0,10,2,266,112,33.25,257,103.5,1,2,1,NEP
Shamsur Rahman,2013-2014,10.0,10,0,266,96,26.6,350,76.0,0,2,2,BAN
Aaqib Javed,1990-1998,140.0,47,23,265,45,11.04,443,59.81,0,0,6,PAK
CG Greenidge,1990-1991,12.0,12,2,265,77,26.5,567,46.73,0,1,0,WI
Washington Sundar,2017-2023,19.0,11,1,265,51,26.5,311,85.2,0,1,0,IND
Afsar Zazai,2014-2017,17.0,16,1,264,60,17.6,488,54.09,0,2,3,AFG
S Jyoti,2006-2010,14.0,13,1,264,117,22.0,442,59.72,1,0,3,CAN
M Theekshana,2021-2024,42.0,24,8,264,38,16.5,491,53.76,0,0,4,SL
SP Patil,2014-2015,13.0,12,2,263,99,26.3,404,65.09,0,2,1,UAE
Tanzid Hasan,2023-2024,15.0,14,0,263,84,18.78,264,99.62,0,2,2,BAN
HN Ya France,2019-2023,25.0,21,11,263,52,26.3,300,87.66,0,1,2,NAM
HJW Gardiner,2013-2015,11.0,11,0,262,96,23.81,396,66.16,0,2,1,SCOT
Naved Latif,2001-2003,11.0,11,0,262,113,23.81,417,62.82,1,0,1,PAK
Aizaz Khan,2014-2018,19.0,15,2,260,44,20.0,374,69.51,0,0,1,HKG
K Birkenstock,2019-2023,20.0,18,1,258,61,15.17,447,57.71,0,1,3,NAM
ML Udawatte,2008-2008,9.0,9,0,257,73,28.55,383,67.1,0,2,1,SL
SS Dighe,2000-2001,23.0,17,6,256,94,23.27,421,60.8,0,1,1,IND
MJ Henry,2014-2023,82.0,35,12,255,48,11.08,277,92.05,0,0,7,NZ
AD Poynter,2008-2014,19.0,16,3,255,78,19.61,412,61.89,0,2,3,IRE
SA Wijeyeratne,2023-2024,10.0,10,0,254,63,25.4,360,70.55,0,3,1,CAN
S Ranatunga,1994-1996,13.0,11,0,253,70,23.0,526,48.09,0,2,0,SL
NM Coulter-Nile,2013-2019,32.0,21,6,252,92,16.8,262,96.18,0,1,2,AUS
J Edness,2007-2008,11.0,11,2,252,72,28.0,403,62.53,0,1,1,BER
KS More,1990-1993,44.0,29,10,252,32,13.26,359,70.19,0,0,1,IND
HA Varaiya,2006-2014,63.0,38,17,252,34,12.0,489,51.53,0,0,3,KENYA
JJ Atkinson,2008-2017,9.0,9,0,250,59,27.77,398,62.81,0,1,0,HKG
JAH Marshall,2005-2008,10.0,10,0,250,161,25.0,313,79.87,1,1,2,NZ
AR Caddick,1993-2003,54.0,38,18,249,36,12.45,395,63.03,0,0,6,ENG
DE Budge,2018-2022,17.0,15,4,248,46,22.54,312,79.48,0,0,1,SCOT
JD Campbell,2019-2019,6.0,5,0,248,179,49.6,214,115.88,1,0,0,WI
MA Suji,1996-2006,64.0,52,22,247,16,8.23,526,46.95,0,0,9,KENYA
AD Mascarenhas,2007-2009,20.0,13,2,245,52,22.27,257,95.33,0,1,2,ENG
SM Davies,2009-2011,8.0,8,0,244,87,30.5,231,105.62,0,1,1,ENG
RAS Lakmal,2009-2021,86.0,48,22,244,26,9.38,404,60.39,0,0,9,SL
Qaiser Ali,2006-2008,17.0,17,1,244,70,15.25,383,63.7,0,2,3,CAN
JAD Lawrenson,2023-2023,5.0,5,0,243,114,48.6,312,77.88,1,1,0,JER
Hasan Raza,1996-1999,16.0,13,0,242,77,18.61,480,50.41,0,1,1,PAK
MJ Di Venuto,1997-1997,9.0,9,0,241,89,26.77,281,85.76,0,2,0,AUS
Musa Ahmed,2021-2023,13.0,13,0,241,61,18.53,366,65.84,0,1,1,NED
GD Drummond,2007-2013,30.0,20,7,240,35,18.46,262,91.6,0,0,2,SCOT
CM Wright,2006-2009,20.0,18,3,240,37,16.0,351,68.37,0,0,2,SCOT
Amjad Javed,2008-2017,15.0,13,1,239,56,19.91,267,89.51,0,1,1,UAE
CRD Fernando,2001-2012,147.0,61,35,239,20,9.19,392,60.96,0,0,9,SL
T Panyangara,2004-2016,65.0,49,13,239,33,6.63,463,51.61,0,0,9,ZIM
KA Maharaj,2017-2023,44.0,23,5,238,40,13.22,288,82.63,0,0,1,SA
